sp2,sp3,numO,numN,
30,20,13,8,1
22,9,4,7,1
22,7,6,7,1
28,24,10,10,1
21,16,7,5,1
67,47,20,21,1
23,9,7,3,1
104,68,30,29,1
27,17,8,7,1
66,42,20,19,1
87,53,33,23,1
12,12,5,4,1
13,7,5,2,1
46,32,20,14,1
75,50,19,26,1
36,22,9,9,1
65,33,19,15,1
37,25,14,10,1
16,15,5,5,1
39,25,14,13,1
15,11,4,3,1
46,38,16,11,1
38,43,13,13,1
23,9,7,3,1
27,21,8,11,1
18,13,5,4,1
67,42,23,22,1
23,26,8,9,1
91,53,24,25,1
13,7,5,2,1
21,11,5,5,1
28,23,9,7,1
22,14,8,5,1
30,27,13,9,1
18,11,5,8,1
46,16,6,11,1
21,27,9,7,1
22,13,8,4,1
19,10,4,7,1
66,42,26,16,1
26,8,8,3,1
30,28,12,10,1
19,10,6,4,1
12,12,6,4,1
15,7,3,3,1
28,7,6,5,1
42,40,15,12,1
21,10,5,5,1
14,13,4,6,1
19,6,4,7,1
22,14,5,8,1
18,17,7,6,1
27,16,12,7,1
37,29,13,10,1
18,8,8,5,1
15,19,7,5,1
46,22,14,15,1
19,10,7,3,1
21,8,5,5,1
15,19,7,5,1
18,12,4,4,1
18,13,4,4,1
26,23,8,9,1
22,14,7,5,1
26,19,6,7,1
36,10,7,6,1
33,20,6,8,1
91,53,24,25,1
32,14,10,5,1
24,18,6,6,1
