sp2,sp3,numO,numN,
26,17,9,8,1
11,5,3,4,1
32,14,10,5,1
11,4,3,4,1
6,7,3,2,1
27,22,7,7,1
24,10,7,6,1
27,17,6,6,1
17,7,4,5,1
28,25,10,7,1
34,23,12,9,1
23,15,8,8,1
27,26,15,8,1
43,29,11,18,1
12,5,3,2,1
34,16,7,10,1
12,11,7,4,1
16,10,6,3,1
22,12,4,7,1
9,9,5,3,1
